"REF_DATE","GEO","DGUID","New housing price indexes","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015-01","Ontario","2016A000235","Total (house and land)","Index, 201612=100","347","units","0","v111955490","17.1","91.2","","","","1"
"2015-02","Ontario","2016A000235","Total (house and land)","Index, 201612=100","347","units","0","v111955490","17.1","91.4","","","","1"
"2015-03","Ontario","2016A000235","Total (house and land)","Index, 201612=100","347","units","0","v111955490","17.1","91.6","","","","1"
"2015-04","Ontario","2016A000235","Total (house and land)","Index, 201612=100","347","units","0","v111955490","17.1","91.8","","","","1"
"2015-05","Ontario","2016A000235","Total (house and land)","Index, 201612=100","347","units","0","v111955490","17.1","92.1","","","","1"
"2015-06","Ontario","2016A000235","Total (house and land)","Index, 201612=100","347","units","0","v111955490","17.1","92.6","","","","1"
"2015-07","Ontario","2016A000235","Total (house and land)","Index, 201612=100","347","units","0","v111955490","17.1","92.8","","","","1"
"2015-08","Ontario","2016A000235","Total (house and land)","Index, 201612=100","347","units","0","v111955490","17.1","93.3","","","","1"
"2015-09","Ontario","2016A000235","Total (house and land)","Index, 201612=100","347","units","0","v111955490","17.1","93.4","","","","1"
"2015-10","Ontario","2016A000235","Total (house and land)","Index, 201612=100","347","units","0","v111955490","17.1","93.8","","","","1"
"2015-11","Ontario","2016A000235","Total (house and land)","Index, 201612=100","347","units","0","v111955490","17.1","93.9","","","","1"
"2015-12","Ontario","2016A000235","Total (house and land)","Index, 201612=100","347","units","0","v111955490","17.1","94.1","","","","1"
"2016-01","Ontario","2016A000235","Total (house and land)","Index, 201612=100","347","units","0","v111955490","17.1","94.2","","","","1"
"2016-02","Ontario","2016A000235","Total (house and land)","Index, 201612=100","347","units","0","v111955490","17.1","94.6","","","","1"
"2016-03","Ontario","2016A000235","Total (house and land)","Index, 201612=100","347","units","0","v111955490","17.1","94.8","","","","1"
"2016-04","Ontario","2016A000235","Total (house and land)","Index, 201612=100","347","units","0","v111955490","17.1","95.3","","","","1"
"2016-05","Ontario","2016A000235","Total (house and land)","Index, 201612=100","347","units","0","v111955490","17.1","96.6","","","","1"
"2016-06","Ontario","2016A000235","Total (house and land)","Index, 201612=100","347","units","0","v111955490","17.1","97.0","","","","1"
"2016-07","Ontario","2016A000235","Total (house and land)","Index, 201612=100","347","units","0","v111955490","17.1","97.8","","","","1"
"2016-08","Ontario","2016A000235","Total (house and land)","Index, 201612=100","347","units","0","v111955490","17.1","98.2","","","","1"
"2016-09","Ontario","2016A000235","Total (house and land)","Index, 201612=100","347","units","0","v111955490","17.1","98.5","","","","1"
"2016-10","Ontario","2016A000235","Total (house and land)","Index, 201612=100","347","units","0","v111955490","17.1","99.5","","","","1"
"2016-11","Ontario","2016A000235","Total (house and land)","Index, 201612=100","347","units","0","v111955490","17.1","99.9","","","","1"
"2016-12","Ontario","2016A000235","Total (house and land)","Index, 201612=100","347","units","0","v111955490","17.1","100.0","","","","1"
"2017-01","Ontario","2016A000235","Total (house and land)","Index, 201612=100","347","units","0","v111955490","17.1","100.3","","","","1"
